pointId,modeId,localModeIndex,realPartPerSecond,imagPartRadPerSecond,dampingRatio,frequencyHz,modeName,matchingConfidence
B45_V045,8,8,-0.0424118788244221,0.0459001313249841,0.678647437354995,0.00730523278893836,long-period-like,0.91755399986336
B45_V045,9,9,-0.0424118788244221,-0.0459001313249841,0.678647437354995,0.00730523278893836,long-period-like,0.925902812952501
B45_V045,10,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.987028490369105
B45_V045,11,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.987028490369105
B45_V045,12,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.977929440749013
B45_V045,13,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.977929440749013
B75_V080,1,1,0,0,-0,0,spiral-like,1
B75_V080,3,2,-0.545327250073881,1.60140329689517,0.322353151494113,0.254871250584525,dutch-roll-like,0.754861512020919
B75_V080,4,3,-0.545327250073881,-1.60140329689517,0.322353151494113,0.254871250584525,dutch-roll-like,0.754861512020919
B75_V080,2,4,-1.67586321484035,0,1,0,roll-like,0.801957390465202
B75_V080,5,5,-0.0833895826988076,0,1,0,spiral-like,0.809838113405447
B75_V080,6,6,-1.00563442109611,3.05576637333406,0.312601281226699,0.486340323250109,short-period-like,0.706086335392961
B75_V080,7,7,-1.00563442109611,-3.05576637333406,0.312601281226699,0.486340323250109,short-period-like,0.706086335392961
B75_V080,9,8,-0.272694649420986,0,1,0,longitudinal aperiodic,0.870329989379912
B75_V080,8,9,-0.077933444245873,0,1,0,longitudinal aperiodic,0.918163109154543
B75_V080,10,10,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.710633650992361
B75_V080,11,11,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,symmetric nacelle actuator,0.710633650992361
B75_V080,12,12,-3.2,2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.811366929286501
B75_V080,13,13,-3.2,-2.39999999999963,0.800000000000044,0.38197186342049,differential nacelle actuator,0.811366929286501
