pointId,betaMDeg,speedMps,perturbationKind,perturbationName,stepLevel,step,stepUnit,coefficientName,dimensionalDerivative,dimensionalUnit,coefficientDerivative,coefficientUnit,plusFxN,plusFyN,plusFzN,plusMxNm,plusMyNm,plusMzNm,minusFxN,minusFyN,minusFzN,minusMxNm,minusMyNm,minusMzNm,relativeStepVariation,valid,status
B15_V020,15,20,PHYSICAL_CONTROL,rudder,1,0.001,rad,Cm_rudder,0,N*m/(rad),0,1/rad,10133.2556607226,0.548799999999773,-57960.7708837063,0.111863739514017,-1.15005343026553e-06,-2.32093948784105,10133.2556607226,-0.548800000000227,-57960.7708837063,-0.111863739455809,-1.15005343026553e-06,2.32093948784821,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,1,0.001,rad,Cn_rudder,-2320.93948784463,N*m/(rad),-0.0526290133298102,1/rad,10133.2556607226,0.548799999999773,-57960.7708837063,0.111863739514017,-1.15005343026553e-06,-2.32093948784105,10133.2556607226,-0.548800000000227,-57960.7708837063,-0.111863739455809,-1.15005343026553e-06,2.32093948784821,1.55577585224702e-14,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,2,0.0001,rad,CX_rudder,0,N/(rad),0,1/rad,10133.2556682153,0.0548799999997726,-57960.7708823963,0.011186373977595,2.86260821447115e-06,-0.232093948780882,10133.2556682153,-0.0548800000002274,-57960.7708823963,-0.0111863739193874,2.86260821447115e-06,0.232093948788044,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,2,0.0001,rad,CY_rudder,548.8,N/(rad),0.124444444444444,1/rad,10133.2556682153,0.0548799999997726,-57960.7708823963,0.011186373977595,2.86260821447115e-06,-0.232093948780882,10133.2556682153,-0.0548800000002274,-57960.7708823963,-0.0111863739193874,2.86260821447115e-06,0.232093948788044,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,2,0.0001,rad,CZ_rudder,0,N/(rad),0,1/rad,10133.2556682153,0.0548799999997726,-57960.7708823963,0.011186373977595,2.86260821447115e-06,-0.232093948780882,10133.2556682153,-0.0548800000002274,-57960.7708823963,-0.0111863739193874,2.86260821447115e-06,0.232093948788044,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,2,0.0001,rad,Cl_rudder,111.863739484912,N*m/(rad),0.00253659273208417,1/rad,10133.2556682153,0.0548799999997726,-57960.7708823963,0.011186373977595,2.86260821447115e-06,-0.232093948780882,10133.2556682153,-0.0548800000002274,-57960.7708823963,-0.0111863739193874,2.86260821447115e-06,0.232093948788044,1.58660017170334e-13,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,2,0.0001,rad,Cm_rudder,0,N*m/(rad),0,1/rad,10133.2556682153,0.0548799999997726,-57960.7708823963,0.011186373977595,2.86260821447115e-06,-0.232093948780882,10133.2556682153,-0.0548800000002274,-57960.7708823963,-0.0111863739193874,2.86260821447115e-06,0.232093948788044,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,2,0.0001,rad,Cn_rudder,-2320.93948784463,N*m/(rad),-0.0526290133298103,1/rad,10133.2556682153,0.0548799999997726,-57960.7708823963,0.011186373977595,2.86260821447115e-06,-0.232093948780882,10133.2556682153,-0.0548800000002274,-57960.7708823963,-0.0111863739193874,2.86260821447115e-06,0.232093948788044,1.55577585224702e-14,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,3,1e-05,rad,CX_rudder,0,N/(rad),0,1/rad,10133.2556682902,0.00548799999977263,-57960.7708823832,0.00111863742395313,2.90273483116721e-06,-0.0232093948748648,10133.2556682902,-0.00548800000022737,-57960.7708823832,-0.00111863736574547,2.90273483116721e-06,0.0232093948820271,0,1,VALID_CENTRAL_DIFFERENCE
B15_V020,15,20,PHYSICAL_CONTROL,rudder,3,1e-05,rad,CY_rudder,548.8,N/(rad),0.124444444444444,1/rad,10133.2556682902,0.00548799999977263,-57960.7708823832,0.00111863742395313,2.90273483116721e-06,-0.0232093948748648,10133.2556682902,-0.00548800000022737,-57960.7708823832,-0.00111863736574547,2.90273483116721e-06,0.0232093948820271,0,1,VALID_CENTRAL_DIFFERENCE
