pointId,modelKind,modeIndex,classification,classificationConfidence,dominantGroup,dominantGroupScore,secondGroupScore,longitudinalRigidBodyScore,lateralDirectionalRigidBodyScore,symmetricNacelleScore,differentialNacelleScore,actuatorRateScore,pathologicalEigenvectors,modeTrackingStatus
B45_V035,NINE_STATE_PHYSICAL_CONTROL,3,LATERAL_DIRECTIONAL_OSCILLATORY_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.47669373677189e-24,1.47669373677189e-24,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,4,LATERAL_DIRECTIONAL_OSCILLATORY_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.47669373677189e-24,1.47669373677189e-24,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,5,LONGITUDINAL_OSCILLATORY_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,2.05666560642921e-24,1,2.05666560642921e-24,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,6,LONGITUDINAL_OSCILLATORY_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,2.0566656064292e-24,1,2.0566656064292e-24,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,7,LATERAL_DIRECTIONAL_APERIODIC_MODE,HIGH,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.65788549848359e-19,1.65788549848359e-19,1,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,8,LONGITUDINAL_APERIODIC_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,6.15713259556483e-23,1,6.15713259556483e-23,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,NINE_STATE_PHYSICAL_CONTROL,9,LONGITUDINAL_APERIODIC_MODE,HIGH,LONGITUDINAL_RIGID_BODY,1,6.01547581108694e-20,1,6.01547581108694e-20,0,0,0,0,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,1,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,0,0,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,2,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,9.77204989270575e-25,9.77204989270575e-25,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,3,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.64316190094971e-24,1.64316190094971e-24,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,4,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,1.64415351163797e-24,1.64415351163797e-24,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,5,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,2.13019877210254e-24,1,2.13019877210254e-24,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,6,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,2.13031767809721e-24,1,2.13031767809721e-24,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,7,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,6.63260581636231e-19,6.63260581636231e-19,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,8,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,5.99729908555759e-23,1,5.99729908555759e-23,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,9,MIXED_OR_UNCERTAIN_MODE,LOW,LONGITUDINAL_RIGID_BODY,1,2.47932767047232e-19,1,2.47932767047232e-19,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,10,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,7.73333331620259e-290,7.73333331620259e-290,1,2.59236180339894e-293,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,11,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,2.59214707498772e-293,4.08055348836509e-311,1,0,2.59214707498772e-293,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,12,MIXED_OR_UNCERTAIN_MODE,LOW,SYMMETRIC_NACELLE,0.999999999999999,1.16431476740652e-15,1.16431476740652e-15,8.95951244713019e-26,0.999999999999999,0,0.928366762177649,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_TORQUE,13,MIXED_OR_UNCERTAIN_MODE,LOW,DIFFERENTIAL_NACELLE,0.999999999999999,1.01127323243906e-15,1.88801624127027e-28,1.01127323243906e-15,0,0.999999999999999,0.92836676217765,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,1,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,0,0,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
B45_V035,THIRTEEN_STATE_ANGLE_COMMAND,2,MIXED_OR_UNCERTAIN_MODE,LOW,LATERAL_DIRECTIONAL_RIGID_BODY,1,9.77279220661658e-25,9.77279220661658e-25,1,0,0,0,1,NOT_TRACKED_ACROSS_EXPLICIT_TRIM_MODE_BOUNDARIES
