alpha_deg,alpha_rad,Re,Mach,flap_deg,CL,CD,Cm,source,source_class,validity
-128.0,-2.234021442552742,600000.0,0.0,0.0,0.1407580929643457,1.2995860766578409,0.4553938301787655,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-127.0,-2.2165681500327987,600000.0,0.0,0.0,0.14375663106528397,1.3255666454565291,0.46509498285827167,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-126.0,-2.199114857512855,600000.0,0.0,0.0,0.14659987046400008,1.3502016423526404,0.47429369856000025,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-125.0,-2.181661564992912,600000.0,0.0,0.0,0.14928233086419745,1.3734435838024683,0.48297224691358004,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-124.0,-2.1642082724729685,600000.0,0.0,0.0,0.15179938302735804,1.395252360177335,0.49111565097086424,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-123.0,-2.1467549799530254,600000.0,0.0,0.0,0.15414730035200003,1.4155956826675198,0.49871185408000007,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-122.0,-2.129301687433082,600000.0,0.0,0.0,0.15632331045293826,1.4344495301862081,0.5057518867595061,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-121.0,-2.111848394913139,600000.0,0.0,0.0,0.15832564674054325,1.45179859627343,0.5122300335723459,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-120.0,-2.0943951023931953,600000.0,0.0,0.0,0.16015360000000012,1.4676367360000007,0.5181440000000004,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-119.0,-2.076941809873252,600000.0,0.0,0.0,0.1618075699705678,1.4819674128714577,0.5234950793165429,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-118.0,-2.059488517353309,600000.0,0.0,0.0,0.16328911692483944,1.494804145732013,0.5282883194627158,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-117.0,-2.0420352248333655,600000.0,0.0,0.0,0.16460101324800003,1.50617095566848,0.5325326899200001,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-116.0,-2.0245819323134224,600000.0,0.0,0.0,0.16574729501708643,1.5161028129142202,0.5362412485846915,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-115.0,-2.007128639793479,600000.0,0.0,0.0,0.16673331358024696,1.5246460837530866,0.5394313086419755,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-114.0,-1.9896753472735358,600000.0,0.0,0.0,0.16756578713600007,1.5318589774233604,0.5421246054400003,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-113.0,-1.9722220547535925,600000.0,0.0,0.0,0.1682528523124937,1.5378119930216916,0.5443474633639502,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-112.0,-1.9547687622336491,600000.0,0.0,0.0,0.16880411574676538,1.5425883664070474,0.5461309627101233,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-111.0,-1.9373154697137058,600000.0,0.0,0.0,0.16923070566399998,1.5462845171046395,0.5475111065599999,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-110.0,-1.9198621771937625,600000.0,0.0,0.0,0.16954532345679013,1.5490104952098764,0.548528987654321,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-109.0,-1.9024088846738192,600000.0,0.0,0.0,0.16976229526439507,1.5508904282922982,0.5492309552671605,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-108.0,-1.8849555921538759,600000.0,0.0,0.0,0.16989762355200014,1.5520629682995208,0.5496687820800005,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-107.0,-1.8675022996339325,600000.0,0.0,0.0,0.16996903868997515,1.5526817384611695,0.549899831055802,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-106.0,-1.8500490071139892,600000.0,0.0,0.0,0.16999605053313568,1.5529157801928362,0.549987222313086,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-105.0,-1.8325957145940461,600000.0,0.0,0.0,0.17,1.5529499999999998,0.55,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-104.0,-1.8151424220741028,600000.0,0.0,0.0,0.15000000000000002,1.56513,0.546,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-103.0,-1.7976891295541595,600000.0,0.0,0.0,0.13,1.57731,0.542,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-102.0,-1.7802358370342162,600000.0,0.0,0.0,0.11000000000000001,1.5894899999999998,0.538,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-101.0,-1.7627825445142729,600000.0,0.0,0.0,0.09000000000000001,1.60167,0.534,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-100.0,-1.7453292519943295,600000.0,0.0,0.0,0.07,1.61385,0.53,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-99.0,-1.7278759594743862,600000.0,0.0,0.0,0.046000000000000006,1.6260299999999999,0.526,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-98.0,-1.710422666954443,600000.0,0.0,0.0,0.022000000000000006,1.63821,0.522,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-97.0,-1.6929693744344996,600000.0,0.0,0.0,-0.0020000000000000018,1.6503899999999998,0.518,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-96.0,-1.6755160819145565,600000.0,0.0,0.0,-0.025999999999999995,1.6625699999999997,0.514,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-95.0,-1.6580627893946132,600000.0,0.0,0.0,-0.05,1.6747499999999997,0.51,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-94.0,-1.6406094968746698,600000.0,0.0,0.0,-0.07600000000000001,1.6788099999999997,0.506,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-93.0,-1.6231562043547265,600000.0,0.0,0.0,-0.10200000000000001,1.6828699999999999,0.502,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-92.0,-1.6057029118347832,600000.0,0.0,0.0,-0.128,1.6869299999999998,0.498,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-91.0,-1.5882496193148399,600000.0,0.0,0.0,-0.15400000000000003,1.6909899999999998,0.494,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-90.0,-1.5707963267948966,600000.0,0.0,0.0,-0.18,1.6950499999999997,0.49,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-89.0,-1.5533430342749532,600000.0,0.0,0.0,-0.206,1.6930199999999997,0.486,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-88.0,-1.53588974175501,600000.0,0.0,0.0,-0.23199999999999998,1.6909899999999998,0.482,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-87.0,-1.5184364492350666,600000.0,0.0,0.0,-0.258,1.6889599999999998,0.478,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-86.0,-1.5009831567151235,600000.0,0.0,0.0,-0.28400000000000003,1.6869299999999998,0.474,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-85.0,-1.4835298641951802,600000.0,0.0,0.0,-0.31,1.6848999999999998,0.47,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-84.0,-1.4660765716752369,600000.0,0.0,0.0,-0.334,1.6788099999999997,0.46599999999999997,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-83.0,-1.4486232791552935,600000.0,0.0,0.0,-0.358,1.6727199999999998,0.46199999999999997,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-82.0,-1.4311699866353502,600000.0,0.0,0.0,-0.382,1.6666299999999998,0.458,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-81.0,-1.413716694115407,600000.0,0.0,0.0,-0.406,1.6605399999999997,0.454,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-80.0,-1.3962634015954636,600000.0,0.0,0.0,-0.43,1.6544499999999998,0.45,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-79.0,-1.3788101090755203,600000.0,0.0,0.0,-0.454,1.6442999999999997,0.444,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-78.0,-1.361356816555577,600000.0,0.0,0.0,-0.47800000000000004,1.6341499999999998,0.438,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-77.0,-1.3439035240356338,600000.0,0.0,0.0,-0.502,1.6239999999999999,0.432,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-76.0,-1.3264502315156905,600000.0,0.0,0.0,-0.526,1.61385,0.426,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-75.0,-1.3089969389957472,600000.0,0.0,0.0,-0.55,1.6037,0.42,TM88373_DIGITIZED_GRAPH,TM88373_DIGITIZED_GRAPH,FORMAL_MULTIDIMENSIONAL_V2
-74.0,-1.2915436464758039,600000.0,0.0,0.0,-0.5500278109593599,1.6035878464655358,0.41996433397759997,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-73.0,-1.2740903539558606,600000.0,0.0,0.0,-0.55021577341952,1.6028298483691519,0.4197232824832,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-72.0,-1.2566370614359172,600000.0,0.0,0.0,-0.5507059461644801,1.6008531238292478,0.4190946629568,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-71.0,-1.239183768915974,600000.0,0.0,0.0,-0.5516214009446401,1.5971613601648638,0.4179206426624,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-70.0,-1.2217304763960306,600000.0,0.0,0.0,-0.553067048,1.5913314848,0.41606667999999997,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-69.0,-1.2042771838760873,600000.0,0.0,0.0,-0.5551304615833601,1.583010336167936,0.4134204658176,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-68.0,-1.1868238913561442,600000.0,0.0,0.0,-0.55788270548352,1.571911334615552,0.4098908647232,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-67.0,-1.1693705988362009,600000.0,0.0,0.0,-0.56137915854848,1.5578111533076477,0.4054068563968,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-66.0,-1.1519173063162575,600000.0,0.0,0.0,-0.56566034020864,1.5405463891312638,0.39991647690239995,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
-65.0,-1.1344640137963142,600000.0,0.0,0.0,-0.5707527360000001,1.5200102336,0.39338576000000003,BRIDGE_MODEL,BRIDGE_MODEL,FORMAL_MULTIDIMENSIONAL_V2
