pointId,inputIndex,inputState,component,forceDerivativeDifferenceNorm,momentDerivativeDifferenceNorm,rollAccelerationDerivativeDifference,pitchAccelerationDerivativeDifference,yawAccelerationDerivativeDifference,angularAccelerationDerivativeDifferenceNorm,differenceStep,stencil
B75_V080,1,u,wing,7.29015461814988e-11,3.63797880709171e-11,-2.06786628564341e-15,0,-3.71948490204534e-17,2.06820077170819e-15,0.05,CENTRAL_DIFFERENCE
B75_V080,1,u,fuselage,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,1,u,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,1,u,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,2,v,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,2,v,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,2,v,wing,7.27595761418343e-11,2.27373675443232e-12,-2.32467806377834e-18,0,-5.11641327588989e-17,5.1216917215608e-17,0.05,CENTRAL_DIFFERENCE
B75_V080,2,v,fuselage,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,2,v,horizontalTail,0,5.55111512312578e-17,3.15531354620882e-21,0,5.67548355414633e-23,3.15582393143949e-21,0.05,CENTRAL_DIFFERENCE
B75_V080,2,v,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,3,w,rotorLeft,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,3,w,rotorRight,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,3,w,wing,0,3.66629035320263e-11,-2.06786628564341e-15,-1.5496322337984e-16,-3.71948490204534e-17,2.07399807924082e-15,0.05,CENTRAL_DIFFERENCE
B75_V080,3,w,fuselage,0,1.4210854715202e-13,0,4.84260073062e-18,0,4.84260073062e-18,0.05,CENTRAL_DIFFERENCE
B75_V080,3,w,horizontalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,3,w,verticalTail,0,0,0,0,0,0,0.05,CENTRAL_DIFFERENCE
B75_V080,4,p,rotorLeft,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,4,p,rotorRight,0,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
B75_V080,4,p,wing,8.69365024414037e-09,3408.22157622361,0.193598600803011,0,0.00796952220941941,0.19376256479808,0.001,CENTRAL_DIFFERENCE
B75_V080,4,p,fuselage,2.66453525910038e-15,0,0,0,0,0,0.001,CENTRAL_DIFFERENCE
