localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,headingIntegrator,stable,analysisStatus,analysisMessage,variant,pointId
10,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
11,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
12,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
13,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B45_V035
1,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
2,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.545007697621097,1.58241976255981,0.325641268937009,1.67364443517913,0.251849927257697,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
3,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.545007697621097,-1.58241976255981,0.325641268937009,1.67364443517913,0.251849927257697,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
4,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.70559858082877,0,1,1.70559858082877,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
5,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0832084322969657,0,1,0.0832084322969657,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
6,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.01171664566589,2.88589498316416,0.330832041804179,3.05809751724328,0.459304451814678,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
7,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-1.01171664566589,-2.88589498316416,0.330832041804179,3.05809751724328,0.459304451814678,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
8,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.0544306630081208,0,1,0.0544306630081208,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
9,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-0.300448078893678,0,1,0.300448078893678,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
10,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
11,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,0,0,-0,0,0,0,0,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
12,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
13,UNCLASSIFIED_ILL_CONDITIONED_EIGENVECTORS,-3.6,0,1,3.6,0,0,1,RAW_EIGENVALUES_ONLY,analyze_berger13_modes:DefectiveEigenvectors: Right eigenvector matrix is too ill-conditioned for participation.,MODEL_C2,B75_V080
