Re,Mach,flap_deg,sweep,alpha_deg,CL,CD,Cm,source,accepted
600000.0,0.1,0.0,negative,-14.0,-0.8436,0.03867,-0.0774,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-15.0,-0.9194,0.0467,-0.0685,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-16.0,-0.9252,0.05332,-0.0729,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-17.0,-0.9262,0.06183,-0.0751,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-18.0,-0.9344,0.07075,-0.0754,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-19.0,-0.9289,0.082,-0.0741,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-20.0,-0.9279,0.09364,-0.0711,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-21.0,-0.9207,0.10668,-0.0668,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-22.0,-0.9134,0.12019,-0.0615,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-23.0,-0.9056,0.1342,-0.0547,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-24.0,-0.9001,0.14832,-0.0471,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
600000.0,0.1,0.0,negative,-25.0,-0.8874,0.1641,-0.0376,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,0.0,0.0609,0.00813,-0.0127,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,1.0,0.1582,0.00829,-0.0103,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,2.0,0.261,0.00835,-0.0093,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,3.0,0.369,0.00858,-0.0095,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,4.0,0.4796,0.0087,-0.0104,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,5.0,0.5907,0.00896,-0.0116,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,6.0,0.6894,0.00924,-0.0103,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,7.0,0.7867,0.00966,-0.009,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,8.0,0.8778,0.01017,-0.0069,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,9.0,0.9472,0.01137,-0.0015,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,10.0,0.9741,0.01448,0.0087,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,11.0,0.9749,0.01976,0.0194,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,12.0,0.9978,0.02556,0.0238,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,13.0,1.0546,0.03335,0.0197,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,14.0,1.0777,0.03953,0.0237,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,15.0,1.1005,0.04626,0.0266,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,16.0,1.1237,0.05341,0.0284,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,17.0,1.1499,0.06062,0.0294,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,18.0,1.1665,0.0691,0.0297,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,19.0,1.1818,0.07815,0.0292,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,20.0,1.1798,0.08955,0.0277,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,21.0,1.1836,0.10077,0.0251,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,22.0,1.1746,0.11415,0.021,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,23.0,1.1547,0.12952,0.0151,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,24.0,1.1373,0.14497,0.0077,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,positive,25.0,1.1212,0.16066,-0.001,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,0.0,0.0609,0.00813,-0.0127,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-1.0,-0.0359,0.00812,-0.0151,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-2.0,-0.1276,0.00809,-0.0188,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-3.0,-0.2124,0.00811,-0.024,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-4.0,-0.2902,0.00813,-0.0308,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-5.0,-0.3623,0.0082,-0.0388,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-6.0,-0.4424,0.00832,-0.0448,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-7.0,-0.5303,0.00851,-0.049,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-8.0,-0.5814,0.00969,-0.0595,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-9.0,-0.6057,0.01212,-0.072,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-10.0,-0.6375,0.01522,-0.0802,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-11.0,-0.6789,0.01868,-0.0851,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-12.0,-0.717,0.02262,-0.0893,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-13.0,-0.7698,0.02673,-0.0903,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-14.0,-0.8693,0.03233,-0.0799,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-15.0,-0.9367,0.03861,-0.0748,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-16.0,-0.9973,0.04609,-0.0689,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-18.0,-1.0171,0.06092,-0.0738,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-19.0,-1.0182,0.07068,-0.0735,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-20.0,-1.0264,0.08042,-0.0719,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-21.0,-1.0134,0.09341,-0.0685,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-22.0,-0.984,0.10942,-0.0628,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-23.0,-0.9692,0.12415,-0.0563,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-24.0,-0.9442,0.14093,-0.0478,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.0,0.0,negative,-25.0,-0.9254,0.15711,-0.0387,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,0.0,0.06,0.00816,-0.0125,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,2.0,0.2607,0.00839,-0.0089,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,3.0,0.3689,0.00862,-0.0091,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,4.0,0.4806,0.00875,-0.01,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,5.0,0.5921,0.00901,-0.0111,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,6.0,0.6912,0.0093,-0.0098,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,7.0,0.7888,0.00973,-0.0084,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,8.0,0.8802,0.01026,-0.0061,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,9.0,0.9488,0.01151,-0.0005,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,10.0,0.9724,0.01484,0.0101,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,11.0,0.9712,0.02036,0.0208,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,12.0,0.99,0.02627,0.026,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,13.0,1.0491,0.0344,0.0209,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,14.0,1.0713,0.04079,0.0249,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,15.0,1.095,0.04756,0.0277,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,16.0,1.1191,0.05474,0.0295,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,17.0,1.144,0.06223,0.0304,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,18.0,1.1598,0.07093,0.0306,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,19.0,1.1718,0.08048,0.03,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,20.0,1.1721,0.09183,0.0283,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,21.0,1.171,0.10388,0.0254,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,22.0,1.1615,0.11751,0.021,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,23.0,1.1359,0.13399,0.0143,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,24.0,1.1231,0.14896,0.0068,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,positive,25.0,1.1075,0.1648,-0.0022,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,0.0,0.06,0.00816,-0.0125,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-1.0,-0.0374,0.00815,-0.015,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-2.0,-0.129,0.00813,-0.0189,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-3.0,-0.2141,0.00813,-0.0241,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-4.0,-0.2919,0.00816,-0.0311,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-5.0,-0.3636,0.00823,-0.0393,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-6.0,-0.4443,0.00835,-0.0454,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-7.0,-0.5315,0.00856,-0.0499,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-8.0,-0.5792,0.00983,-0.061,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-9.0,-0.603,0.01233,-0.0736,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-10.0,-0.6335,0.01561,-0.0817,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-11.0,-0.6743,0.01921,-0.0865,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-12.0,-0.7117,0.02328,-0.0907,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-13.0,-0.7644,0.02752,-0.0917,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-14.0,-0.8641,0.03329,-0.0812,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-15.0,-0.9312,0.03974,-0.0761,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-16.0,-0.9886,0.04764,-0.0703,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-17.0,-0.9944,0.05503,-0.0736,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-18.0,-1.0087,0.0628,-0.0748,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-19.0,-1.0088,0.07285,-0.0743,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-20.0,-1.013,0.08326,-0.0725,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
1000000.0,0.1,0.0,negative,-21.0,-0.993,0.09747,-0.0684,XFOIL_CLEAN_STANDARD_NACA64A223_PDAS,1
