caseName,modelIdentity,stepScale,sourceArtifactId,sourceArtifactDigest,matrixName,rowIndex,rowName,columnIndex,columnName,value
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,1,udot,9,psi,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,1,u,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,2,v,-0.036875300138525642
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,3,w,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,4,p,3.44312094335751
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,5,q,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,6,r,-19.70139381286037
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,7,phi,9.66103126417403
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,8,theta,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,2,vdot,9,psi,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,1,u,-0.045748251202023971
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,2,v,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,3,w,-0.57133624292449937
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,4,p,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,5,q,19.70139381286037
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,6,r,0
B15_V020,M1_EVIDENCE_V1_PROPAGATION,0.5,9781737622,sha256:c12863890c26e57a614580df38db7a4a830496ca0592092da002087c7afab57f,A,3,wdot,7,phi,0
