localModeIndex,modeName,realPartPerSecond,imagPartRadPerSecond,dampingRatio,naturalFrequencyRadPerSecond,frequencyHz,timeConstantSeconds,doublingTimeSeconds,halvingTimeSeconds,dominantState,dominantStateParticipation,betaSymParticipation,betaDiffParticipation,rigidBodyParticipation,stable,pointId,betaMDeg,speedMps
6,short-period-like,-0.466884312172122,-1.09948933963842,0.39085794047273,1.19451151896119,0.174989163280298,2.14185821611273,NaN,1.48462298365769,q,0.485080856911397,0,0,1,1,B45_V035,45,35
7,spiral-like,-0.0727992230424361,0,1,0.0727992230424361,0,13.7364103380208,NaN,9.52135409681359,phi,0.857286579818016,0,0,1,1,B45_V035,45,35
8,longitudinal aperiodic,0.0399324342593561,0,-1,0.0399324342593561,0,25.0423000387386,17.3579996665879,NaN,theta,0.638838248765769,0,0,1,0,B45_V035,45,35
9,longitudinal aperiodic,-0.0736063817633228,0,1,0.0736063817633228,0,13.5857785159912,NaN,9.4169440740712,u,0.765727092254852,0,0,1,1,B45_V035,45,35
10,symmetric nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B45_V035,45,35
11,symmetric nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaSym,0.5,1,0,0,1,B45_V035,45,35
12,differential nacelle actuator,-3.2,2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiffDot,0.5,0,1,0,1,B45_V035,45,35
13,differential nacelle actuator,-3.2,-2.39999999999963,0.800000000000044,3.99999999999978,0.38197186342049,0.3125,NaN,0.216608493924983,betaDiff,0.5,0,1,0,1,B45_V035,45,35
1,spiral-like,0,0,-0,0,0,NaN,NaN,NaN,psi,1,0,0,1,0,B45_V045,45,45
2,roll-like,-2.2336015728564,0,1,2.2336015728564,0,0.447707421123083,NaN,0.310327136667229,p,0.829980538923328,0,0,1,1,B45_V045,45,45
3,dutch-roll-like,-0.0951384892176099,0.964168848805807,0.0981972013619773,0.968851330771716,0.153452238262667,10.5109930609966,NaN,7.28566520511496,v,0.477518604911614,0,0,1,1,B45_V045,45,45
4,dutch-roll-like,-0.0951384892176099,-0.964168848805807,0.0981972013619773,0.968851330771716,0.153452238262667,10.5109930609966,NaN,7.28566520511496,v,0.477518604911614,0,0,1,1,B45_V045,45,45
5,spiral-like,-0.0845647571160806,0,1,0.0845647571160806,0,11.8252571650778,NaN,8.19664366337,phi,0.901211945505844,0,0,1,1,B45_V045,45,45
6,short-period-like,-0.590191996323079,1.5238800721962,0.361155314915163,1.63417779539453,0.24253304616926,1.69436387858535,NaN,1.17444354528405,q,0.495346619603222,0,0,1,1,B45_V045,45,45
7,short-period-like,-0.590191996323079,-1.5238800721962,0.361155314915163,1.63417779539453,0.24253304616926,1.69436387858535,NaN,1.17444354528405,q,0.495346619603222,0,0,1,1,B45_V045,45,45
