time,u,v,w,p,q,r,phi,theta,psi,betaML,betaMR,betaMLdot,betaMRdot,betaSym,betaDiff,lateralForceN,rollMomentNm,yawMomentNm,limitActive,analysisGuardValid,bodySpeedMps,alphaRad,sideslipRad
3.4,33.3269271217283,3.48798409149008,12.9071841708994,-0.00207979341221034,-0.039456844699996,0.00814420388575667,0.112871858342345,0.33688685774585,-0.0335982665489642,0.872814989312943,0.872670401187742,-0.000839172018621376,-0.000212459223666547,0.872742695250342,-7.22940626001756e-05,3992.84000845587,-933.071620898454,1972.44685789404,0,1,35.9088499902321,0.369501654572272,0.0972877833322726
3.425,33.3477143409136,3.49649810755232,12.9001884259586,-0.00332997891482708,-0.0395355915128806,0.00922710784555613,0.112840665695779,0.335881220868607,-0.0334875321116452,0.872794936539935,0.872665485749645,-0.000766783737593429,-0.000182248199956988,0.87273021114479,-6.47253951451821e-05,3987.66214965391,-921.053156030099,1977.14681644195,0,1,35.9264583866059,0.369109246555891,0.097478061597747
3.45,33.3687332604016,3.50368134369159,12.8933641646602,-0.00456242636926436,-0.0396048575147061,0.01031231478903,0.112787655340989,0.334870700531483,-0.0333484895798824,0.872776648961257,0.872661289742284,-0.000698033532471279,-0.000154826412836246,0.87271896935177,-5.76796094866605e-05,3982.13017881458,-909.424062110883,1980.64946233672,0,1,35.9442204233797,0.368719345558187,0.0976305374695065
3.475,33.3899820889196,3.50953556282641,12.8867177796421,-0.0057776894931279,-0.0396649566005881,0.0113991556174667,0.112713236092437,0.333855528498451,-0.0331810558865864,0.87276003407519,0.872657745416063,-0.000633017279615044,-0.000130034091006266,0.872708889745626,-5.11443295634351e-05,3976.2645140223,-898.152101292831,1982.9808400285,0,1,35.9621361837316,0.368332141832596,0.0977453123533035
3.5,33.4114589721914,3.51406294406509,12.880255230013,-0.00697627753363168,-0.0397162026405179,0.0124869764085561,0.112617796788876,0.332835932275069,-0.0329851665656889,0.872744997637368,0.872654789034875,-0.000571782222370743,-0.000107710848509542,0.872699893336122,-4.51043012466013e-05,3970.08425506824,-887.205839849375,1984.1660314448,0,1,35.9802057222518,0.367947814498353,0.097822500535216
3.525,33.4331619924583,3.51726608077921,12.8739820452102,-0.00815865647862442,-0.0397589091476324,0.0135751378603592,0.112501707618743,0.331812135036284,-0.0327607753392386,0.872731444788053,0.872652360870171,-0.0005143337317208,-8.76972552437581e-05,0.872691902829112,-3.95419589409585e-05,3963.60725606162,-876.554764363943,1984.22919065677,0,1,35.9984290656877,0.36756653164655,0.0978622290898886
3.55,33.4550891681573,3.51914797905349,12.8679033291827,-0.0093252504140474,-0.0397933889486407,0.0146630147532881,0.112365321407352,0.330784355562614,-0.0325078537177324,0.872719281018269,0.872650405158935,-0.000460641452799635,-6.98361662618491e-05,0.872684843088602,-3.44379296667863e-05,3956.85019584293,-866.169376638204,1983.19358103225,0,1,36.0168062137251,0.367188450454427,0.0978646377966889
3.575,33.4772384537531,3.51971205644384,12.8620237649046,-0.0104764429994132,-0.0398199538564061,0.015749995431739,0.112208974862685,0.329752808184646,-0.0322263906132875,0.872708412989749,0.872648870031302,-0.00041064487144977,-5.39738332882734e-05,0.872678641510525,-2.97714792232839e-05,3949.82864605434,-856.021269399278,1981.08161428764,0,1,36.0353371397951,0.366813717308043,0.0978298790619226
3.6,33.4996077397201,3.51896214098261,12.8563476192202,-0.0116125790357524,-0.0398389143448056,0.0168354813066698,0.112032989777285,0.328717702735762,-0.0319163919652076,0.872698749222742,0.872647707412966,-0.000364258335286032,-3.99608204243804e-05,0.872673228317854,-2.55209048882765e-05,3942.55713675595,-846.083184766372,1977.91489091934,0,1,36.0540217919029,0.366442467933437,0.0977581178454561
3.625,33.5221948526724,3.51690247037675,12.8508787480255,-0.0127339661031617,-0.0398505792260946,0.0179188863801027,0.111837674184362,0.327679244512997,-0.0315778803774603,0.872690200664903,0.872646872907017,-0.0003213755636681,-2.76527445706111e-05,0.87266853678596,-2.16638789429235e-05,3935.04921950668,-836.329057315694,1973.71424155235,0,1,36.072860093471,0.366074827536362,0.0976495315902895
