parameter,factor,actuatorModeRealPerSecond,actuatorModeImagRadPerSecond,actuatorModeDampingRatio,actuatorModeFrequencyHz,dutchModeRealPerSecond,dutchModeImagRadPerSecond,shortPeriodRealPerSecond,shortPeriodImagRadPerSecond,spiralModeRealPerSecond,spectralAbscissaDiagnosticPerSecond,validMaxBetaDiffRad,validPeakRollMomentNm,validPeakYawMomentNm,validPeakAttitudeRad,validRecoveryTimeSeconds,firstEnvelopeViolationTime,forceDerivativeNormNPerRad,momentDerivativeNormNmPerRad,targetLimitActivated,classificationMetric,classificationMetricDefinition,conclusionClass,classificationReason
accelLim,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,0,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
torqueLim,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,0,0,valid-prefix maxBetaDiff [rad],CANNOT_RELIABLY_DETERMINE,target limit was not activated inside the analysis guard
torqueLim,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,0,0,valid-prefix maxBetaDiff [rad],CANNOT_RELIABLY_DETERMINE,target limit was not activated inside the analysis guard
torqueLim,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,0,0,valid-prefix maxBetaDiff [rad],CANNOT_RELIABLY_DETERMINE,target limit was not activated inside the analysis guard
movingMassLeft,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00885719665643148,1354.13280447876,893.801681183779,0.122594046889464,NaN,NaN,1879.28663646119,300489.799951209,1,0.00885719665643148,valid-prefix maxBetaDiff [rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
movingMassLeft,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00885719665643148,1354.17250142085,893.865807977827,0.122600130031043,NaN,NaN,1879.28663646119,300489.432973884,1,0.00885719665643148,valid-prefix maxBetaDiff [rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
movingMassLeft,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00885719665643148,1354.21183937178,893.930425790181,0.122606239016729,NaN,NaN,1879.28663646119,300489.799951209,1,0.00885719665643148,valid-prefix maxBetaDiff [rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
nacelleInertia,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,9.14321268548524e-11,4.36408287490043e-11,0.0121761413672984,NaN,NaN,1879.28663646119,300489.432973884,1,0.0121761413672984,valid-prefix peak attitude deviation [rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
nacelleInertia,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,0.0122103753697724,valid-prefix peak attitude deviation [rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
nacelleInertia,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8.67834270133426e-11,5.57001134622432e-11,0.0122446008706354,NaN,NaN,1879.28663646119,300489.432973884,1,0.0122446008706354,valid-prefix peak attitude deviation [rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
leftDelay,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00147007889961054,340.600238773991,140.493123284356,0.011735855314789,NaN,NaN,1879.28663646119,300489.432973884,1,0.00147007889961054,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
leftDelay,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00288149260499354,656.915234703933,280.652972287436,0.0147847764510643,NaN,NaN,1879.28663646119,300489.432973884,1,0.00288149260499354,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
leftDelay,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00418736113625545,926.143991185193,420.148854048272,0.0221620078223357,NaN,NaN,1879.28663646119,300489.432973884,1,0.00418736113625545,valid-prefix maxBetaDiff [rad],HIGHLY_ASSUMPTION_DEPENDENT,common valid-prefix metric changes by at least 50%
wakeArea,0.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,8.70654092867207e-11,4.04030258684354e-11,0.012057569226577,NaN,NaN,1879.28663646119,308091.681353139,1,308091.681353139,norm(dM/dBetaDiff) [N*m/rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
wakeArea,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27620832518619e-11,4.36408287490043e-11,0.0122103753697724,NaN,NaN,1879.28663646119,300489.432973884,1,300489.432973884,norm(dM/dBetaDiff) [N*m/rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
wakeArea,1.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,7.27670001590712e-11,3.67424015246502e-11,0.0123632842806572,NaN,NaN,1879.28663646119,292899.234290036,1,292899.234290036,norm(dM/dBetaDiff) [N*m/rad],TREND_ROBUST,common valid-prefix metric changes by less than 5%
